gpu_model,price_usd,date,source
RTX 5090,3799.99,2026-03-23,whattomine
RX 7900 XTX,1219.99,2026-03-23,whattomine
RTX 4090,3199.99,2026-03-23,whattomine
RTX 4080 Super,1544.00,2026-03-23,whattomine
RX 7900 XT,699.99,2026-03-23,whattomine
RTX 4080,1759.00,2026-03-23,whattomine
RTX 5080,1249.99,2026-03-23,whattomine
RTX 3090 Ti,2095.00,2026-03-23,whattomine
RTX 3080 Ti,899.99,2026-03-23,whattomine
RTX 4070 Ti,882.68,2026-03-23,whattomine
RTX 4070 Ti Super,1701.19,2026-03-23,whattomine
RTX 3090,1489.95,2026-03-23,whattomine
RTX 5070 Ti,1069.99,2026-03-23,whattomine
RTX 4070 Super,898.99,2026-03-23,whattomine
RTX 3080 12GB,680.00,2026-03-23,whattomine
RTX 3080,629.95,2026-03-23,whattomine
RTX 5070,631.94,2026-03-23,whattomine
RX 6800,449.99,2026-03-23,whattomine
RX 6900 XT,679.00,2026-03-23,whattomine
RX 6800 XT,698.00,2026-03-23,whattomine
RX 7800 XT,549.99,2026-03-23,whattomine
RX 6950 XT,529.99,2026-03-23,whattomine
RTX A5000,2229.99,2026-03-23,whattomine
RTX 2080 Ti,399.99,2026-03-23,whattomine
RTX 4070,729.99,2026-03-23,whattomine
RTX 3070 Ti,497.50,2026-03-23,whattomine
RTX 5060 Ti,419.99,2026-03-23,whattomine
Radeon VII,1899.95,2026-03-23,whattomine
RTX 3070,500.00,2026-03-23,whattomine
RTX 4060 Ti,549.99,2026-03-23,whattomine
RTX 2080,735.00,2026-03-23,whattomine
RTX 3060 Ti,370.00,2026-03-23,whattomine
RTX 2080 Super,785.00,2026-03-23,whattomine
RX 6750 XT,849.00,2026-03-23,whattomine
RTX 5060,349.99,2026-03-23,whattomine
RTX A4000,1042.99,2026-03-23,whattomine
GTX 1080 Ti,395.00,2026-03-23,whattomine
RTX 3060,284.99,2026-03-23,whattomine
RTX 2070,659.00,2026-03-23,whattomine
RX 6700 XT,639.99,2026-03-23,whattomine
RTX 4060,419.00,2026-03-23,whattomine
RTX 2070 Super,599.00,2026-03-23,whattomine
RX Vega 64,499.00,2026-03-23,whattomine
RTX 2060,299.00,2026-03-23,whattomine
RX 5700 XT,209.99,2026-03-23,whattomine
GTX 1080,374.00,2026-03-23,whattomine
RX Vega 56,349.95,2026-03-23,whattomine
RTX A4500,1149.95,2026-03-23,whattomine
RTX 2060 Super,239.99,2026-03-23,whattomine
RX 6650 XT,299.99,2026-03-23,whattomine
RX 6600 XT,329.97,2026-03-23,whattomine
RX 5700,585.00,2026-03-23,whattomine
GTX 1070 Ti,288.02,2026-03-23,whattomine
GTX 1070,289.00,2026-03-23,whattomine
RX 6600,339.99,2026-03-23,whattomine
RX 5600 XT,535.00,2026-03-23,whattomine
R9 Fury,443.10,2026-03-23,whattomine
GTX 1660 Ti,174.97,2026-03-23,whattomine
RTX 3050,169.99,2026-03-23,whattomine
RTX A2000 6GB,574.99,2026-03-23,whattomine
GTX 1660 Super,189.99,2026-03-23,whattomine
GTX 1660,253.48,2026-03-23,whattomine
RX 480 8GB,339.99,2026-03-23,whattomine
RX 580 8GB,219.99,2026-03-23,whattomine
GTX 1060 6GB,395.00,2026-03-23,whattomine
RX 570 8GB,388.99,2026-03-23,whattomine
RX 5500 XT 8GB,169.99,2026-03-23,whattomine
GTX 1050 Ti,129.98,2026-03-23,whattomine
R9 380 4GB,89.99,2026-03-23,whattomine
